prompt_id,secteur,plateforme,fichier,statut,date_collecte,note
P16,Assurance,lechat,collecte/lechat.md (section P16),done,2026-06-10,
P17,Telecom & énergie,lechat,collecte/lechat.md (section P17),done,2026-06-10,
P18,Telecom & énergie,lechat,collecte/lechat.md (section P18),done,2026-06-10,
P19,Telecom & énergie,lechat,collecte/lechat.md (section P19),done,2026-06-10,
P20,Telecom & énergie,lechat,collecte/lechat.md (section P20),done,2026-06-10,
P21,Telecom & énergie,lechat,collecte/lechat.md (section P21),done,2026-06-10,
P22,Telecom & énergie,lechat,collecte/lechat.md (section P22),done,2026-06-10,
P23,Telecom & énergie,lechat,collecte/lechat.md (section P23),done,2026-06-10,
P24,Telecom & énergie,lechat,collecte/lechat.md (section P24),done,2026-06-10,
P25,Retail & e-commerce,lechat,collecte/lechat.md (section P25),done,2026-06-10,
P26,Retail & e-commerce,lechat,collecte/lechat.md (section P26),done,2026-06-10,
P27,Retail & e-commerce,lechat,collecte/lechat.md (section P27),done,2026-06-10,
P28,Retail & e-commerce,lechat,collecte/lechat.md (section P28),done,2026-06-10,
P29,Retail & e-commerce,lechat,collecte/lechat.md (section P29),done,2026-06-10,
P30,Retail & e-commerce,lechat,collecte/lechat.md (section P30),done,2026-06-10,
P31,Retail & e-commerce,lechat,collecte/lechat.md (section P31),done,2026-06-10,
P32,Retail & e-commerce,lechat,collecte/lechat.md (section P32),done,2026-06-10,
P33,Tech & services FR,lechat,collecte/lechat.md (section P33),done,2026-06-10,
P34,Tech & services FR,lechat,collecte/lechat.md (section P34),done,2026-06-10,
P35,Tech & services FR,lechat,collecte/lechat.md (section P35),done,2026-06-10,
P36,Tech & services FR,lechat,collecte/lechat.md (section P36),done,2026-06-10,
P37,Tech & services FR,lechat,collecte/lechat.md (section P37),done,2026-06-10,
P38,Tech & services FR,lechat,collecte/lechat.md (section P38),done,2026-06-10,
P39,Tech & services FR,lechat,collecte/lechat.md (section P39),done,2026-06-10,
P40,Tech & services FR,lechat,collecte/lechat.md (section P40),done,2026-06-10,
P01,Banque,perplexity,collecte/perplexity.md (section P01),done,2026-06-10,
P02,Banque,perplexity,collecte/perplexity.md (section P02),done,2026-06-10,
P03,Banque,perplexity,collecte/perplexity.md (section P03),done,2026-06-10,
P04,Banque,perplexity,collecte/perplexity.md (section P04),done,2026-06-10,
P05,Banque,perplexity,collecte/perplexity.md (section P05),done,2026-06-10,
P06,Banque,perplexity,collecte/perplexity.md (section P06),done,2026-06-10,
P07,Banque,perplexity,collecte/perplexity.md (section P07),done,2026-06-10,
P08,Banque,perplexity,collecte/perplexity.md (section P08),done,2026-06-10,
P09,Assurance,perplexity,collecte/perplexity.md (section P09),done,2026-06-10,
P10,Assurance,perplexity,collecte/perplexity.md (section P10),done,2026-06-10,
P11,Assurance,perplexity,collecte/perplexity.md (section P11),done,2026-06-10,
P12,Assurance,perplexity,collecte/perplexity.md (section P12),done,2026-06-10,
P13,Assurance,perplexity,collecte/perplexity.md (section P13),done,2026-06-10,
P14,Assurance,perplexity,collecte/perplexity.md (section P14),done,2026-06-10,
P15,Assurance,perplexity,collecte/perplexity.md (section P15),done,2026-06-10,
P16,Assurance,perplexity,collecte/perplexity.md (section P16),done,2026-06-10,
P17,Telecom & énergie,perplexity,collecte/perplexity.md (section P17),done,2026-06-10,
P18,Telecom & énergie,perplexity,collecte/perplexity.md (section P18),done,2026-06-10,
P19,Telecom & énergie,perplexity,collecte/perplexity.md (section P19),done,2026-06-10,
P20,Telecom & énergie,perplexity,collecte/perplexity.md (section P20),done,2026-06-10,
P21,Telecom & énergie,perplexity,collecte/perplexity.md (section P21),done,2026-06-10,
P22,Telecom & énergie,perplexity,collecte/perplexity.md (section P22),done,2026-06-10,
P23,Telecom & énergie,perplexity,collecte/perplexity.md (section P23),done,2026-06-10,
P24,Telecom & énergie,perplexity,collecte/perplexity.md (section P24),done,2026-06-10,
P25,Retail & e-commerce,perplexity,collecte/perplexity.md (section P25),done,2026-06-10,
P26,Retail & e-commerce,perplexity,collecte/perplexity.md (section P26),done,2026-06-10,
P27,Retail & e-commerce,perplexity,collecte/perplexity.md (section P27),done,2026-06-10,
P28,Retail & e-commerce,perplexity,collecte/perplexity.md (section P28),done,2026-06-10,
P29,Retail & e-commerce,perplexity,collecte/perplexity.md (section P29),done,2026-06-10,
P30,Retail & e-commerce,perplexity,collecte/perplexity.md (section P30),done,2026-06-10,
P31,Retail & e-commerce,perplexity,collecte/perplexity.md (section P31),done,2026-06-10,
P32,Retail & e-commerce,perplexity,collecte/perplexity.md (section P32),done,2026-06-10,
P33,Tech & services FR,perplexity,collecte/perplexity.md (section P33),done,2026-06-10,
P34,Tech & services FR,perplexity,collecte/perplexity.md (section P34),done,2026-06-10,
P35,Tech & services FR,perplexity,collecte/perplexity.md (section P35),done,2026-06-10,
P36,Tech & services FR,perplexity,collecte/perplexity.md (section P36),done,2026-06-10,
P37,Tech & services FR,perplexity,collecte/perplexity.md (section P37),done,2026-06-10,
P38,Tech & services FR,perplexity,collecte/perplexity.md (section P38),done,2026-06-10,
P39,Tech & services FR,perplexity,collecte/perplexity.md (section P39),done,2026-06-10,
P40,Tech & services FR,perplexity,collecte/perplexity.md (section P40),done,2026-06-10,
P01,Banque,gemini,collecte/gemini.md (section P01),done,2026-06-10,
P02,Banque,gemini,collecte/gemini.md (section P02),done,2026-06-10,
P03,Banque,gemini,collecte/gemini.md (section P03),done,2026-06-10,
P04,Banque,gemini,collecte/gemini.md (section P04),done,2026-06-10,
P05,Banque,gemini,collecte/gemini.md (section P05),done,2026-06-10,
P06,Banque,gemini,collecte/gemini.md (section P06),done,2026-06-10,
P07,Banque,gemini,collecte/gemini.md (section P07),done,2026-06-10,
P08,Banque,gemini,collecte/gemini.md (section P08),done,2026-06-10,
P09,Assurance,gemini,collecte/gemini.md (section P09),done,2026-06-10,
P10,Assurance,gemini,collecte/gemini.md (section P10),done,2026-06-10,
P11,Assurance,gemini,collecte/gemini.md (section P11),done,2026-06-10,
P12,Assurance,gemini,collecte/gemini.md (section P12),done,2026-06-10,
P13,Assurance,gemini,collecte/gemini.md (section P13),done,2026-06-10,
P14,Assurance,gemini,collecte/gemini.md (section P14),done,2026-06-10,
P15,Assurance,gemini,collecte/gemini.md (section P15),done,2026-06-10,
P16,Assurance,gemini,collecte/gemini.md (section P16),done,2026-06-10,
P17,Telecom & énergie,gemini,collecte/gemini.md (section P17),done,2026-06-10,
P18,Telecom & énergie,gemini,collecte/gemini.md (section P18),done,2026-06-10,
P19,Telecom & énergie,gemini,collecte/gemini.md (section P19),done,2026-06-10,
P20,Telecom & énergie,gemini,collecte/gemini.md (section P20),done,2026-06-10,
P21,Telecom & énergie,gemini,collecte/gemini.md (section P21),done,2026-06-10,
P22,Telecom & énergie,gemini,collecte/gemini.md (section P22),done,2026-06-10,
P23,Telecom & énergie,gemini,collecte/gemini.md (section P23),done,2026-06-10,
P24,Telecom & énergie,gemini,collecte/gemini.md (section P24),done,2026-06-10,
P25,Retail & e-commerce,gemini,collecte/gemini.md (section P25),done,2026-06-10,
P26,Retail & e-commerce,gemini,collecte/gemini.md (section P26),done,2026-06-10,
P27,Retail & e-commerce,gemini,collecte/gemini.md (section P27),done,2026-06-10,
P28,Retail & e-commerce,gemini,collecte/gemini.md (section P28),done,2026-06-10,
P29,Retail & e-commerce,gemini,collecte/gemini.md (section P29),done,2026-06-10,
P30,Retail & e-commerce,gemini,collecte/gemini.md (section P30),done,2026-06-10,
P31,Retail & e-commerce,gemini,collecte/gemini.md (section P31),done,2026-06-10,
P32,Retail & e-commerce,gemini,collecte/gemini.md (section P32),done,2026-06-10,
P33,Tech & services FR,gemini,collecte/gemini.md (section P33),done,2026-06-10,
P34,Tech & services FR,gemini,collecte/gemini.md (section P34),done,2026-06-10,
P35,Tech & services FR,gemini,collecte/gemini.md (section P35),done,2026-06-10,
P36,Tech & services FR,gemini,collecte/gemini.md (section P36),done,2026-06-10,
P37,Tech & services FR,gemini,collecte/gemini.md (section P37),done,2026-06-10,
P38,Tech & services FR,gemini,collecte/gemini.md (section P38),done,2026-06-10,
P39,Tech & services FR,gemini,collecte/gemini.md (section P39),done,2026-06-10,
P40,Tech & services FR,gemini,collecte/gemini.md (section P40),done,2026-06-10,
P01,Banque,claude,collecte/claude.md (section P01),done,2026-06-10,
P02,Banque,claude,collecte/claude.md (section P02),done,2026-06-10,
P03,Banque,claude,collecte/claude.md (section P03),done,2026-06-10,
P04,Banque,claude,collecte/claude.md (section P04),done,2026-06-10,
P05,Banque,claude,collecte/claude.md (section P05),done,2026-06-10,
P06,Banque,claude,collecte/claude.md (section P06),done,2026-06-10,
P07,Banque,claude,collecte/claude.md (section P07),done,2026-06-10,
P08,Banque,claude,collecte/claude.md (section P08),done,2026-06-10,
P09,Assurance,claude,collecte/claude.md (section P09),done,2026-06-10,
P10,Assurance,claude,collecte/claude.md (section P10),done,2026-06-10,
P11,Assurance,claude,collecte/claude.md (section P11),done,2026-06-10,
P12,Assurance,claude,collecte/claude.md (section P12),done,2026-06-10,
P13,Assurance,claude,collecte/claude.md (section P13),done,2026-06-10,
P14,Assurance,claude,collecte/claude.md (section P14),done,2026-06-10,
P15,Assurance,claude,collecte/claude.md (section P15),done,2026-06-10,
P16,Assurance,claude,collecte/claude.md (section P16),done,2026-06-10,
P17,Telecom & énergie,claude,collecte/claude.md (section P17),done,2026-06-10,
P18,Telecom & énergie,claude,collecte/claude.md (section P18),done,2026-06-10,
P19,Telecom & énergie,claude,collecte/claude.md (section P19),done,2026-06-10,
P20,Telecom & énergie,claude,collecte/claude.md (section P20),done,2026-06-10,
P21,Telecom & énergie,claude,collecte/claude.md (section P21),done,2026-06-10,
P22,Telecom & énergie,claude,collecte/claude.md (section P22),done,2026-06-10,
P23,Telecom & énergie,claude,collecte/claude.md (section P23),done,2026-06-10,
P24,Telecom & énergie,claude,collecte/claude.md (section P24),done,2026-06-10,
P25,Retail & e-commerce,claude,collecte/claude.md (section P25),done,2026-06-10,
P26,Retail & e-commerce,claude,collecte/claude.md (section P26),done,2026-06-10,
P27,Retail & e-commerce,claude,collecte/claude.md (section P27),done,2026-06-10,
P28,Retail & e-commerce,claude,collecte/claude.md (section P28),done,2026-06-10,
P29,Retail & e-commerce,claude,collecte/claude.md (section P29),done,2026-06-10,
P30,Retail & e-commerce,claude,collecte/claude.md (section P30),done,2026-06-10,
P31,Retail & e-commerce,claude,collecte/claude.md (section P31),done,2026-06-10,
P32,Retail & e-commerce,claude,collecte/claude.md (section P32),done,2026-06-10,
P33,Tech & services FR,claude,collecte/claude.md (section P33),done,2026-06-10,
P34,Tech & services FR,claude,collecte/claude.md (section P34),done,2026-06-10,
P35,Tech & services FR,claude,collecte/claude.md (section P35),done,2026-06-10,
P36,Tech & services FR,claude,collecte/claude.md (section P36),done,2026-06-10,
P37,Tech & services FR,claude,collecte/claude.md (section P37),done,2026-06-10,
P38,Tech & services FR,claude,collecte/claude.md (section P38),done,2026-06-10,
P39,Tech & services FR,claude,collecte/claude.md (section P39),done,2026-06-10,
P40,Tech & services FR,claude,collecte/claude.md (section P40),done,2026-06-10,
