prompt_id,plateforme,secteur,marque,position,sentiment,n_mentions,sources_marque,sources_urls
P23,chatgpt,Telecom & énergie,RED by SFR,middle,positive,3,non,
P24,chatgpt,Telecom & énergie,EDF,middle,neutral,2,non,
P24,chatgpt,Telecom & énergie,Engie,middle,neutral,2,non,
P24,chatgpt,Telecom & énergie,TotalEnergies,middle,neutral,2,non,
P24,chatgpt,Telecom & énergie,Mint Énergie,middle,neutral,4,non,
P25,chatgpt,Retail & e-commerce,Fnac,middle,positive,3,non,
P25,chatgpt,Retail & e-commerce,Cdiscount,middle,positive,3,non,
P25,chatgpt,Retail & e-commerce,La Redoute,middle,positive,2,non,
P25,chatgpt,Retail & e-commerce,ManoMano,middle,neutral,2,non,
P26,chatgpt,Retail & e-commerce,Darty,end,positive,1,non,
P27,chatgpt,Retail & e-commerce,Leroy Merlin,first_paragraph,positive,3,non,
P27,chatgpt,Retail & e-commerce,ManoMano,middle,positive,2,non,
P28,chatgpt,Retail & e-commerce,Fnac,middle,positive,2,non,
P28,chatgpt,Retail & e-commerce,Darty,middle,positive,2,non,
P28,chatgpt,Retail & e-commerce,Back Market,first_paragraph,positive,3,non,
P29,chatgpt,Retail & e-commerce,E.Leclerc,first_paragraph,positive,8,oui,"Grand Frais, Lidl ou E.Leclerc : l’enseigne la moins chère en 2026 selon UFC-Que Choisir | Grand Frais, Lidl ou E.Leclerc : l’enseigne la moins chère en 2026 selon UFC-Que Choisir | 12 février 2026 — GRAND FRAIS, LIDL OU E.LECLERC : L’ENSEIGNE LA MOINS CHÈRE EN 2026 SELON UFC-QUE CHOISIR Publié par Killian le 12 Fév 2026 à 20:00 Faire ses courses sans voir le ticket grimper reste l’une des préo..."
P30,chatgpt,Retail & e-commerce,Decathlon,first_paragraph,positive,2,non,
P31,chatgpt,Retail & e-commerce,Fnac,middle,positive,3,non,
P31,chatgpt,Retail & e-commerce,Darty,middle,positive,5,oui,Darty Reviews | Read Customer Service Reviews of www.darty.com | Avis de Darty | Lisez les avis marchands de www.darty.com
P31,chatgpt,Retail & e-commerce,Cdiscount,middle,positive,3,non,
P31,chatgpt,Retail & e-commerce,Back Market,middle,positive,2,non,
P32,chatgpt,Retail & e-commerce,Leroy Merlin,first_paragraph,positive,5,non,
P33,chatgpt,Tech & services FR,Doctolib,first_paragraph,positive,2,non,
P34,chatgpt,Tech & services FR,BlaBlaCar,first_paragraph,positive,8,non,
P35,chatgpt,Tech & services FR,Leboncoin,first_paragraph,positive,3,non,
P36,chatgpt,Tech & services FR,Deezer,first_paragraph,positive,4,non,
P37,chatgpt,Tech & services FR,OVHcloud,first_paragraph,positive,3,non,
P38,chatgpt,Tech & services FR,PayFit,first_paragraph,positive,6,non,
P39,chatgpt,Tech & services FR,PayFit,end,positive,2,non,
P39,chatgpt,Tech & services FR,Swile,first_paragraph,positive,4,oui,swile.co
P40,chatgpt,Tech & services FR,Yuka,first_paragraph,neutral,3,non,
P01,lechat,Banque,BoursoBank,first_paragraph,positive,4,non,
P01,lechat,Banque,Fortuneo,middle,positive,2,non,
P01,lechat,Banque,Hello bank!,middle,positive,6,non,
P02,lechat,Banque,BNP Paribas,middle,positive,4,non,
P02,lechat,Banque,Crédit Agricole,middle,neutral,1,non,
P02,lechat,Banque,Société Générale,middle,positive,3,non,
P02,lechat,Banque,BoursoBank,first_paragraph,positive,7,non,
P02,lechat,Banque,Fortuneo,first_paragraph,positive,4,non,
P02,lechat,Banque,Hello bank!,middle,positive,6,non,
P02,lechat,Banque,Crédit Mutuel,middle,neutral,1,non,
P02,lechat,Banque,CIC,middle,neutral,1,non,
P03,lechat,Banque,BoursoBank,first_paragraph,positive,4,non,
P03,lechat,Banque,Fortuneo,first_paragraph,positive,2,non,
P03,lechat,Banque,Hello bank!,middle,neutral,3,non,
P03,lechat,Banque,La Banque Postale,middle,neutral,2,non,
P04,lechat,Banque,BNP Paribas,middle,positive,2,non,
P04,lechat,Banque,Hello bank!,middle,positive,3,non,
P04,lechat,Banque,Qonto,first_paragraph,positive,3,non,
P05,lechat,Banque,BNP Paribas,middle,neutral,2,non,
P05,lechat,Banque,Crédit Agricole,middle,neutral,1,non,
P05,lechat,Banque,Société Générale,middle,neutral,1,non,
P05,lechat,Banque,Crédit Mutuel,end,positive,1,non,
P06,lechat,Banque,BNP Paribas,first_paragraph,positive,4,non,
P06,lechat,Banque,Crédit Agricole,first_paragraph,positive,3,non,
P06,lechat,Banque,Société Générale,first_paragraph,positive,1,non,
P06,lechat,Banque,BoursoBank,middle,positive,3,non,
P06,lechat,Banque,Fortuneo,middle,positive,4,non,
P06,lechat,Banque,Hello bank!,middle,positive,6,non,
P06,lechat,Banque,CIC,middle,positive,2,non,
P07,lechat,Banque,BNP Paribas,first_paragraph,neutral,2,non,
P07,lechat,Banque,Crédit Agricole,first_paragraph,neutral,1,non,
P07,lechat,Banque,Société Générale,first_paragraph,neutral,1,non,
P07,lechat,Banque,BoursoBank,middle,neutral,2,non,
P07,lechat,Banque,Fortuneo,middle,neutral,1,non,
P07,lechat,Banque,Hello bank!,middle,neutral,4,non,
P07,lechat,Banque,La Banque Postale,first_paragraph,neutral,2,non,
P07,lechat,Banque,Crédit Mutuel,first_paragraph,positive,2,non,
P08,lechat,Banque,BoursoBank,middle,positive,2,non,
P08,lechat,Banque,Fortuneo,middle,positive,1,non,
P08,lechat,Banque,Crédit Mutuel,middle,neutral,1,non,
P08,lechat,Banque,CIC,middle,neutral,1,non,
P09,lechat,Assurance,MAIF,first_paragraph,positive,1,non,
P09,lechat,Assurance,Matmut,first_paragraph,positive,1,non,
P09,lechat,Assurance,Direct Assurance,first_paragraph,positive,1,non,
P09,lechat,Assurance,Leocare,middle,positive,1,non,
P10,lechat,Assurance,MACIF,first_paragraph,positive,1,non,
P10,lechat,Assurance,Groupama,first_paragraph,positive,1,non,
P10,lechat,Assurance,GMF,first_paragraph,positive,3,non,
P10,lechat,Assurance,MMA,first_paragraph,positive,2,non,
P10,lechat,Assurance,Leocare,middle,neutral,1,oui,leocare.eu
P11,lechat,Assurance,AXA,first_paragraph,positive,1,non,
P11,lechat,Assurance,MMA,middle,positive,1,non,
P12,lechat,Assurance,Direct Assurance,first_paragraph,positive,2,non,
P12,lechat,Assurance,Leocare,first_paragraph,positive,2,non,
P13,lechat,Assurance,AXA,middle,positive,1,non,
P13,lechat,Assurance,MAIF,middle,positive,1,non,
P13,lechat,Assurance,GMF,middle,positive,1,non,
P13,lechat,Assurance,Direct Assurance,first_paragraph,positive,1,non,
P14,lechat,Assurance,AXA,first_paragraph,positive,1,non,
P14,lechat,Assurance,Leocare,first_paragraph,positive,1,oui,leocare.eu
P15,lechat,Assurance,Alan,middle,neutral,1,non,
P16,lechat,Assurance,Direct Assurance,middle,neutral,2,non,
P17,lechat,Telecom & énergie,Orange,first_paragraph,positive,2,non,
P17,lechat,Telecom & énergie,Free,middle,positive,4,non,
P17,lechat,Telecom & énergie,SFR,middle,positive,2,non,
P17,lechat,Telecom & énergie,Bouygues Telecom,middle,positive,5,non,
P18,lechat,Telecom & énergie,Orange,first_paragraph,positive,4,non,
P18,lechat,Telecom & énergie,Free,middle,positive,5,non,
P18,lechat,Telecom & énergie,SFR,middle,positive,3,non,
P18,lechat,Telecom & énergie,Bouygues Telecom,middle,positive,2,non,
P18,lechat,Telecom & énergie,Sosh,first_paragraph,positive,3,non,
P18,lechat,Telecom & énergie,RED by SFR,middle,positive,7,non,
P19,lechat,Telecom & énergie,Orange,middle,neutral,1,non,
P19,lechat,Telecom & énergie,Free,middle,positive,3,non,
P19,lechat,Telecom & énergie,SFR,middle,positive,2,non,
P19,lechat,Telecom & énergie,Bouygues Telecom,middle,neutral,1,non,
P19,lechat,Telecom & énergie,RED by SFR,middle,positive,3,non,
P20,lechat,Telecom & énergie,EDF,middle,neutral,1,non,
P21,lechat,Telecom & énergie,EDF,first_paragraph,neutral,1,non,
P22,lechat,Telecom & énergie,Orange,middle,positive,4,non,
P22,lechat,Telecom & énergie,SFR,middle,positive,1,non,
P22,lechat,Telecom & énergie,Bouygues Telecom,first_paragraph,positive,5,non,
P23,lechat,Telecom & énergie,Free,first_paragraph,positive,4,non,
P23,lechat,Telecom & énergie,SFR,first_paragraph,positive,5,non,
P23,lechat,Telecom & énergie,RED by SFR,first_paragraph,positive,7,non,
P24,lechat,Telecom & énergie,Engie,end,neutral,1,non,
P24,lechat,Telecom & énergie,Mint Énergie,middle,neutral,2,non,
P25,lechat,Retail & e-commerce,Fnac,middle,positive,1,non,
P25,lechat,Retail & e-commerce,Cdiscount,middle,positive,1,non,
P26,lechat,Retail & e-commerce,E.Leclerc,middle,neutral,1,non,
P26,lechat,Retail & e-commerce,Carrefour,middle,neutral,1,non,
P26,lechat,Retail & e-commerce,Fnac,middle,neutral,1,non,
P26,lechat,Retail & e-commerce,Darty,middle,neutral,1,non,
P26,lechat,Retail & e-commerce,Cdiscount,first_paragraph,positive,2,non,
P27,lechat,Retail & e-commerce,Leroy Merlin,first_paragraph,positive,3,non,
P27,lechat,Retail & e-commerce,ManoMano,middle,positive,2,non,
P28,lechat,Retail & e-commerce,Back Market,first_paragraph,positive,1,non,
P29,lechat,Retail & e-commerce,E.Leclerc,first_paragraph,neutral,6,oui,"« Tous unis contre la vie chère » selon Intermarché, « Des valeurs fortes et des prix bas » pour Système U, les campagnes comparatives « Qui est le moins cher ? » menées par E.Leclerc… Chaque enseigne de la grande distribution a son slogan pour faire valoir ses prix bas. | Grand Frais, Lidl, E.Leclerc, UFC-Que Choisir révèle enfin quelle enseigne est la moins chère en 2026 | L'UFC-Que Choisir a passé au crible les tarifs de plus de 4 500 drives en France pour déterminer le supermarché le plus avantageux en 2026. E.Leclerc s'impose largement comme l'enseigne traditionnelle la moins chère, tandis qu'Auchan devient le distributeur le plus onéreux du marché."
P30,lechat,Retail & e-commerce,Decathlon,first_paragraph,positive,3,non,
P31,lechat,Retail & e-commerce,Fnac,end,positive,1,non,
P31,lechat,Retail & e-commerce,Cdiscount,first_paragraph,positive,2,non,
P31,lechat,Retail & e-commerce,Back Market,middle,positive,2,non,
P32,lechat,Retail & e-commerce,Fnac,first_paragraph,positive,2,non,
P32,lechat,Retail & e-commerce,Darty,first_paragraph,positive,2,non,
P32,lechat,Retail & e-commerce,Leroy Merlin,first_paragraph,positive,3,non,
P33,lechat,Tech & services FR,Doctolib,first_paragraph,positive,3,non,
P34,lechat,Tech & services FR,BlaBlaCar,first_paragraph,positive,4,non,
P35,lechat,Tech & services FR,Leboncoin,first_paragraph,positive,2,non,
P36,lechat,Tech & services FR,Deezer,first_paragraph,positive,3,non,
P37,lechat,Tech & services FR,OVHcloud,first_paragraph,positive,6,non,
P38,lechat,Tech & services FR,PayFit,first_paragraph,positive,6,oui,payfit.com
P39,lechat,Tech & services FR,Swile,first_paragraph,positive,3,non,
P40,lechat,Tech & services FR,Yuka,first_paragraph,positive,2,oui,yuka.io
P01,perplexity,Banque,BoursoBank,first_paragraph,positive,3,non,
P01,perplexity,Banque,Fortuneo,first_paragraph,positive,3,non,
P01,perplexity,Banque,Hello bank!,middle,positive,3,non,
P02,perplexity,Banque,BNP Paribas,middle,neutral,2,non,
P02,perplexity,Banque,BoursoBank,first_paragraph,positive,2,non,
P02,perplexity,Banque,Fortuneo,first_paragraph,positive,2,non,
P03,perplexity,Banque,Crédit Agricole,first_paragraph,neutral,2,non,
P03,perplexity,Banque,BoursoBank,first_paragraph,positive,3,non,
P03,perplexity,Banque,Fortuneo,first_paragraph,positive,2,non,
P03,perplexity,Banque,Hello bank!,middle,positive,3,non,
P04,perplexity,Banque,Qonto,first_paragraph,positive,6,non,
P05,perplexity,Banque,Crédit Agricole,middle,neutral,1,non,
P05,perplexity,Banque,Crédit Mutuel,first_paragraph,positive,2,non,
P06,perplexity,Banque,BNP Paribas,first_paragraph,positive,6,non,
P06,perplexity,Banque,Crédit Agricole,middle,positive,2,non,
P06,perplexity,Banque,Société Générale,first_paragraph,positive,2,non,
P06,perplexity,Banque,BoursoBank,first_paragraph,positive,4,non,
P06,perplexity,Banque,Fortuneo,first_paragraph,positive,4,non,
P06,perplexity,Banque,Crédit Mutuel,middle,positive,2,non,
P07,perplexity,Banque,BNP Paribas,middle,positive,4,non,
P07,perplexity,Banque,Crédit Agricole,middle,positive,2,non,
P07,perplexity,Banque,Société Générale,middle,neutral,1,non,
P07,perplexity,Banque,Crédit Mutuel,middle,neutral,1,non,
P08,perplexity,Banque,BNP Paribas,first_paragraph,positive,6,non,
P08,perplexity,Banque,BoursoBank,first_paragraph,positive,5,non,
P08,perplexity,Banque,Hello bank!,middle,positive,6,non,
P09,perplexity,Assurance,AXA,middle,positive,3,non,
P09,perplexity,Assurance,MAIF,first_paragraph,positive,2,non,
P09,perplexity,Assurance,Groupama,middle,positive,1,non,
P09,perplexity,Assurance,Direct Assurance,middle,positive,2,non,
P10,perplexity,Assurance,AXA,first_paragraph,positive,2,non,
P10,perplexity,Assurance,Matmut,first_paragraph,neutral,1,non,
P10,perplexity,Assurance,Groupama,first_paragraph,positive,3,non,
P10,perplexity,Assurance,MMA,first_paragraph,neutral,2,non,
P10,perplexity,Assurance,Direct Assurance,middle,neutral,2,non,
P11,perplexity,Assurance,Alan,middle,neutral,2,non,
P12,perplexity,Assurance,MAIF,first_paragraph,positive,1,non,
P12,perplexity,Assurance,MACIF,end,neutral,1,non,
P12,perplexity,Assurance,Direct Assurance,first_paragraph,positive,1,non,
P13,perplexity,Assurance,Matmut,first_paragraph,positive,2,non,
P13,perplexity,Assurance,MMA,first_paragraph,positive,2,non,
P14,perplexity,Assurance,AXA,middle,positive,2,non,
P14,perplexity,Assurance,MAIF,middle,positive,2,non,
P14,perplexity,Assurance,Groupama,middle,positive,2,non,
P14,perplexity,Assurance,GMF,middle,positive,3,non,
P14,perplexity,Assurance,MMA,middle,positive,2,non,
P15,perplexity,Assurance,MAIF,end,neutral,1,non,
P16,perplexity,Assurance,Direct Assurance,first_paragraph,positive,4,oui,https://www.direct-assurance.fr/assurance-auto/assurance-auto-pas-chere
P17,perplexity,Telecom & énergie,Orange,first_paragraph,positive,11,non,
P17,perplexity,Telecom & énergie,Free,middle,positive,9,non,
P17,perplexity,Telecom & énergie,SFR,middle,positive,5,non,
P17,perplexity,Telecom & énergie,Bouygues Telecom,first_paragraph,positive,10,non,
P17,perplexity,Telecom & énergie,Sosh,end,positive,1,non,
P17,perplexity,Telecom & énergie,RED by SFR,end,positive,2,non,
P18,perplexity,Telecom & énergie,Orange,middle,positive,4,non,
P18,perplexity,Telecom & énergie,Free,middle,positive,4,non,
P18,perplexity,Telecom & énergie,Bouygues Telecom,end,positive,2,non,
P18,perplexity,Telecom & énergie,RED by SFR,end,positive,1,non,
P19,perplexity,Telecom & énergie,Orange,middle,positive,3,non,
P19,perplexity,Telecom & énergie,Free,first_paragraph,positive,9,non,
P19,perplexity,Telecom & énergie,SFR,first_paragraph,positive,6,non,
P19,perplexity,Telecom & énergie,Bouygues Telecom,first_paragraph,positive,7,non,
P19,perplexity,Telecom & énergie,Sosh,middle,positive,2,non,
P19,perplexity,Telecom & énergie,RED by SFR,first_paragraph,positive,7,non,
P21,perplexity,Telecom & énergie,EDF,middle,positive,2,non,
P21,perplexity,Telecom & énergie,Engie,middle,neutral,1,non,
P21,perplexity,Telecom & énergie,TotalEnergies,middle,positive,1,non,
P21,perplexity,Telecom & énergie,Mint Énergie,middle,positive,4,non,
P22,perplexity,Telecom & énergie,Orange,first_paragraph,positive,6,non,
P22,perplexity,Telecom & énergie,Free,middle,positive,1,non,
P22,perplexity,Telecom & énergie,SFR,middle,positive,1,non,
P22,perplexity,Telecom & énergie,Bouygues Telecom,middle,positive,1,non,
P23,perplexity,Telecom & énergie,Orange,middle,positive,3,non,
P23,perplexity,Telecom & énergie,Free,middle,positive,2,non,
P23,perplexity,Telecom & énergie,SFR,middle,positive,2,non,
P23,perplexity,Telecom & énergie,Bouygues Telecom,middle,positive,1,non,
P23,perplexity,Telecom & énergie,Sosh,middle,positive,2,non,
P23,perplexity,Telecom & énergie,RED by SFR,first_paragraph,positive,3,non,
P25,perplexity,Retail & e-commerce,Fnac,middle,neutral,1,non,
P25,perplexity,Retail & e-commerce,Darty,middle,neutral,1,non,
P25,perplexity,Retail & e-commerce,Cdiscount,first_paragraph,positive,3,non,
P25,perplexity,Retail & e-commerce,La Redoute,middle,neutral,1,non,
P26,perplexity,Retail & e-commerce,Darty,first_paragraph,positive,5,non,
P26,perplexity,Retail & e-commerce,Cdiscount,first_paragraph,neutral,3,non,
P26,perplexity,Retail & e-commerce,Back Market,first_paragraph,positive,2,non,
P27,perplexity,Retail & e-commerce,Leroy Merlin,first_paragraph,positive,6,non,
P27,perplexity,Retail & e-commerce,ManoMano,middle,positive,2,non,
P29,perplexity,Retail & e-commerce,E.Leclerc,first_paragraph,neutral,6,oui,"Que Choisir (avril 2026) : E.Leclerc remporte nettement le titre d'enseigne la moins chère de France, à la fois sur les marques nationales et les marques de distributeur | 60 Millions de consommateurs (février 2025) : E.Leclerc est 5,5% moins cher que ses concurrents, dominant presque tous les rayons | UFC - Que Choisir (septembre 2021) : Panier de 98 produits à 348 € chez E.Leclerc, contre 356 € chez Intermarché et 408 € chez Casino"
P30,perplexity,Retail & e-commerce,E.Leclerc,end,neutral,1,non,
P30,perplexity,Retail & e-commerce,Carrefour,end,neutral,1,non,
P30,perplexity,Retail & e-commerce,Decathlon,first_paragraph,neutral,2,oui,"Decathlon.fr – ""Matériel sport pas cher"""
P31,perplexity,Retail & e-commerce,Fnac,middle,neutral,1,non,
P31,perplexity,Retail & e-commerce,Darty,middle,neutral,1,non,
P31,perplexity,Retail & e-commerce,Cdiscount,first_paragraph,neutral,1,non,
P31,perplexity,Retail & e-commerce,Back Market,end,neutral,1,non,
P32,perplexity,Retail & e-commerce,Leroy Merlin,middle,positive,1,non,
P33,perplexity,Tech & services FR,Doctolib,first_paragraph,positive,3,non,
P34,perplexity,Tech & services FR,BlaBlaCar,first_paragraph,positive,8,non,
P35,perplexity,Tech & services FR,Leboncoin,first_paragraph,positive,2,non,
P36,perplexity,Tech & services FR,Deezer,first_paragraph,neutral,3,non,
P37,perplexity,Tech & services FR,OVHcloud,first_paragraph,positive,3,non,
P38,perplexity,Tech & services FR,PayFit,first_paragraph,positive,4,non,
P39,perplexity,Tech & services FR,Swile,first_paragraph,positive,3,non,
P40,perplexity,Tech & services FR,Yuka,first_paragraph,positive,3,non,
P01,gemini,Banque,BNP Paribas,middle,positive,7,non,
P01,gemini,Banque,BoursoBank,first_paragraph,positive,3,non,
P01,gemini,Banque,Fortuneo,middle,positive,2,non,
P01,gemini,Banque,Hello bank!,middle,positive,3,non,
P01,gemini,Banque,Crédit Mutuel,middle,positive,1,non,
P02,gemini,Banque,BNP Paribas,middle,positive,9,non,
P02,gemini,Banque,Crédit Agricole,middle,positive,1,non,
P02,gemini,Banque,Société Générale,middle,neutral,1,non,
P02,gemini,Banque,BoursoBank,first_paragraph,positive,4,non,
P02,gemini,Banque,Fortuneo,middle,positive,1,non,
P02,gemini,Banque,Hello bank!,middle,positive,5,non,
P02,gemini,Banque,Crédit Mutuel,middle,positive,1,non,
P03,gemini,Banque,BNP Paribas,middle,positive,2,non,
P03,gemini,Banque,Crédit Agricole,end,neutral,1,non,
P03,gemini,Banque,BoursoBank,first_paragraph,positive,2,non,
P03,gemini,Banque,Fortuneo,end,positive,1,non,
P03,gemini,Banque,Hello bank!,middle,positive,2,non,
P03,gemini,Banque,La Banque Postale,middle,neutral,2,non,
P03,gemini,Banque,Crédit Mutuel,end,neutral,1,non,
P04,gemini,Banque,Crédit Agricole,middle,neutral,2,non,
P04,gemini,Banque,Société Générale,first_paragraph,neutral,1,non,
P04,gemini,Banque,BoursoBank,middle,neutral,3,non,
P04,gemini,Banque,Qonto,middle,positive,2,non,
P05,gemini,Banque,BNP Paribas,middle,neutral,4,non,
P05,gemini,Banque,Crédit Agricole,middle,neutral,1,non,
P05,gemini,Banque,Société Générale,middle,neutral,3,non,
P05,gemini,Banque,BoursoBank,end,neutral,1,non,
P05,gemini,Banque,Fortuneo,end,neutral,1,non,
P05,gemini,Banque,Hello bank!,end,neutral,3,non,
P05,gemini,Banque,Crédit Mutuel,middle,positive,2,non,
P06,gemini,Banque,BNP Paribas,end,neutral,1,non,
P06,gemini,Banque,Crédit Agricole,end,positive,2,non,
P06,gemini,Banque,BoursoBank,first_paragraph,positive,3,non,
P06,gemini,Banque,Fortuneo,first_paragraph,positive,3,non,
P06,gemini,Banque,Hello bank!,end,neutral,3,non,
P06,gemini,Banque,Crédit Mutuel,middle,positive,3,non,
P06,gemini,Banque,CIC,middle,neutral,2,non,
P07,gemini,Banque,BNP Paribas,middle,positive,2,non,
P07,gemini,Banque,Crédit Agricole,first_paragraph,neutral,1,non,
P07,gemini,Banque,Société Générale,middle,neutral,1,non,
P07,gemini,Banque,BoursoBank,middle,positive,1,non,
P07,gemini,Banque,Fortuneo,middle,positive,1,non,
